nhpd_id,cousub_name,nhpd_lat,nhpd_lon,ncessch,school_merge,zo_usety,zuse_merge,reg_type,l_r_fid,zone_merge
1050675,BOSTON,42.34349,-71.09031,BOSTON,both,1,both,440,8508,both
1050709,BOSTON,42.33349,-71.10685,BOSTON,both,3,both,390,7957,both
1050912,BOSTON,42.33333,-71.10904,BOSTON,both,1,both,256,6506,both
1050946,BOSTON,42.26473,-71.12171,BOSTON,both,1,both,249,6369,both
1050296,BOSTON,42.25178,-71.1252,BOSTON,both,1,both,259,6589,both
1052033,BOSTON,42.28368,-71.11874,BOSTON,both,1,both,259,6612,both
1108566,BOSTON,42.30954,-71.07543,BOSTON,both,1,both,9,2713,both
1051602,BOSTON,42.32125,-71.07797,BOSTON,both,1,both,380,7864,both
1051739,BOSTON,42.330751,-71.051739,BOSTON,both,1,both,160,5169,both
1051447,BOSTON,42.34676,-71.14279,BOSTON,both,1,both,273,6922,both
1050744,BOSTON,42.32995,-71.09076,BOSTON,both,3,both,390,7958,both
1102852,BOSTON,42.331066,-71.05288,BOSTON,both,1,both,160,5169,both
1050334,BOSTON,42.36041,-71.06523,BOSTON,both,1,both,164,5193,both
1050887,BOSTON,42.36052,-71.0652,BOSTON,both,1,both,164,5193,both
1050809,BOSTON,42.31957,-71.0757,BOSTON,both,1,both,9,2713,both
1051011,BOSTON,42.31515,-71.08259,BOSTON,both,1,both,380,7870,both
1050661,BOSTON,42.34718,-71.13767,BOSTON,both,1,both,273,6925,both
1050937,BOSTON,42.32866,-71.08684,BOSTON,both,1,both,9,2716,both
1050562,BOSTON,42.3419,-71.09868,BOSTON,both,1,both,482,8601,both
1050763,BOSTON,42.34273,-71.09949,BOSTON,both,1,both,477,8586,both
1052191,BOSTON,42.292796,-71.093965,BOSTON,both,3,both,377,7856,both
1154388,BOSTON,42.292323,-71.094667,BOSTON,both,3,both,377,7856,both
1051394,BOSTON,42.29658,-71.08614,BOSTON,both,1,both,57,4060,both
1154389,BOSTON,42.294955,-71.082434,BOSTON,both,1,both,57,4060,both
1129682,BOSTON,42.3509,-71.06197,BOSTON,both,3,both,492,8614,both
1106004,BOSTON,42.349053,-71.060298,BOSTON,both,3,both,120,5009,both
1050762,BOSTON,42.3181,-71.10433,BOSTON,both,1,both,261,6703,both
1051515,BOSTON,42.31957,-71.10315,BOSTON,both,1,both,269,6799,both
1019063,BOSTON,42.29728,-71.06839,BOSTON,both,1,both,259,6619,both
1051702,BOSTON,42.34368,-71.15338,BOSTON,both,1,both,56,4039,both
1050840,BOSTON,42.336459,-71.080667,BOSTON,both,1,both,380,7860,both
1050395,BOSTON,42.36703,-71.0412,BOSTON,both,2,both,34,3228,both
1050363,BOSTON,42.36703,-71.0412,BOSTON,both,2,both,34,3228,both
1050829,BOSTON,42.290129,-71.069534,BOSTON,both,1,both,160,5148,both
1107070,BOSTON,42.37139,-71.04144,BOSTON,both,1,both,60,4072,both
1051723,BOSTON,42.370088,-71.041841,BOSTON,both,1,both,156,5126,both
1051720,BOSTON,42.34881,-71.13574,BOSTON,both,1,both,273,6925,both
1050803,BOSTON,42.29356,-71.09002,BOSTON,both,1,both,269,6788,both
1050532,BOSTON,42.29344,-71.0898,BOSTON,both,1,both,269,6788,both
1050867,BOSTON,42.285455,-71.089247,BOSTON,both,1,both,56,4019,both
1050938,BOSTON,42.33145,-71.08603,BOSTON,both,1,both,390,7958,both
1012572,BOSTON,42.331145,-71.086079,BOSTON,both,1,both,380,7860,both
1051300,BOSTON,42.31363,-71.07204,BOSTON,both,1,both,9,2713,both
1051192,BOSTON,42.377127,-71.06693,BOSTON,both,3,both,282,7077,both
1051226,BOSTON,42.378153,-71.067949,BOSTON,both,3,both,282,7077,both
1050776,BOSTON,42.2558,-71.12197,BOSTON,both,3,both,355,7740,both
1050968,BOSTON,42.30969,-71.08541,BOSTON,both,1,both,9,2711,both
1050731,BOSTON,42.30898,-71.08552,BOSTON,both,1,both,9,2711,both
1011528,BOSTON,42.25452,-71.12252,BOSTON,both,1,both,249,6367,both
1050692,BOSTON,42.32189,-71.0946,BOSTON,both,1,both,9,2716,both
1154377,BOSTON,42.366508,-71.038256,BOSTON,both,1,both,60,4070,both
1105507,BOSTON,42.37716,-71.03671,BOSTON,both,1,both,273,6935,both
1050483,BOSTON,42.35167,-71.15199,BOSTON,both,1,both,56,4047,both
1052016,BOSTON,42.352286,-71.079911,BOSTON,both,1,both,455,8539,both
1050623,BOSTON,42.36553,-71.06574,BOSTON,both,1,both,166,5208,both
1051356,BOSTON,42.32091,-71.09086,BOSTON,both,1,both,9,2711,both
1051788,BOSTON,42.32383,-71.08584,BOSTON,both,1,both,380,7863,both
1051456,BOSTON,42.31875,-71.08323,BOSTON,both,1,both,380,7867,both
1051696,BOSTON,42.27232,-71.0795,BOSTON,both,2,both,104,4811,both
1050523,BOSTON,42.35363,-71.06353,BOSTON,both,3,both,535,8709,both
1050798,BOSTON,42.34174,-71.08393,BOSTON,both,1,both,477,8585,both
1107124,BOSTON,42.34225,-71.08403,BOSTON,both,3,both,478,8591,both
1051406,BOSTON,42.34098,-71.08211,BOSTON,both,3,both,461,8546,both
1050797,BOSTON,42.33868,-71.08011,BOSTON,both,3,both,8,2707,both
1050638,BOSTON,42.33899,-71.07925,BOSTON,both,3,both,467,8571,both
1050567,BOSTON,42.33797,-71.0783,BOSTON,both,3,both,467,8571,both
1052035,BOSTON,42.337923,-71.078242,BOSTON,both,3,both,467,8571,both
1050456,BOSTON,42.33586,-71.076544,BOSTON,both,3,both,8,2705,both
1050536,BOSTON,42.335575,-71.076267,BOSTON,both,3,both,8,2705,both
1050699,BOSTON,42.37125,-71.04173,BOSTON,both,1,both,156,5126,both
1051469,BOSTON,42.36959,-71.03745,BOSTON,both,1,both,60,4070,both
1051490,BOSTON,42.33519,-71.09826,BOSTON,both,1,both,256,6507,both
1051704,BOSTON,42.293745,-71.06984,BOSTON,both,1,both,111,4916,both
1051471,BOSTON,42.37861,-71.0393,BOSTON,both,1,both,156,5128,both
1050875,BOSTON,42.38025,-71.03971,BOSTON,both,1,both,273,6935,both
1051416,BOSTON,42.367286,-71.054799,BOSTON,both,1,both,424,8296,both
1052432,BOSTON,42.325293,-71.105309,BOSTON,both,1,both,266,6748,both
1051700,BOSTON,42.33235,-71.05289,BOSTON,both,2,both,2,1770,both
1051216,BOSTON,42.38394,-71.01994,BOSTON,both,1,both,263,6716,both
1051588,BOSTON,42.32217,-71.07518,BOSTON,both,1,both,9,2713,both
1050987,BOSTON,42.28372,-71.08918,BOSTON,both,1,both,56,4019,both
1051144,BOSTON,42.27968,-71.08124,BOSTON,both,1,both,259,6606,both
1018914,BOSTON,42.299768,-71.106397,BOSTON,both,3,both,274,6965,both
1050391,BOSTON,42.32025,-71.05502,BOSTON,both,1,both,56,4033,both
1127775,BOSTON,42.324721,-71.076613,BOSTON,both,3,both,384,7901,both
1052341,BOSTON,42.327882,-71.079763,BOSTON,both,1,both,9,2715,both
1050629,BOSTON,42.288036,-71.06304,BOSTON,both,1,both,160,5147,both
1050289,BOSTON,42.35945,-71.0652,BOSTON,both,1,both,164,5193,both
1050314,BOSTON,42.35935,-71.06612,BOSTON,both,1,both,164,5193,both
1018980,BOSTON,42.31963,-71.084935,BOSTON,both,1,both,380,7867,both
1051099,BOSTON,42.34879,-71.06315,BOSTON,both,3,both,120,5009,both
1051015,BOSTON,42.30655,-71.085214,BOSTON,both,1,both,9,2711,both
1051452,BOSTON,42.295452,-71.083186,BOSTON,both,1,both,57,4060,both
1051685,BOSTON,42.29466,-71.08444,BOSTON,both,1,both,57,4060,both
1104377,BOSTON,42.285459,-71.081025,BOSTON,both,1,both,57,4057,both
1051486,BOSTON,42.33675,-71.07822,BOSTON,both,1,both,380,7860,both
1106673,BOSTON,42.33793,-71.08035,BOSTON,both,3,both,8,2707,both
