station_id,station_name,line,layer,station_lat,station_lon,geometry_x,LEFT_FID,RIGHT_FID,zo_usety,municipal,ncessch,geometry_y,boundary_using_id,dist_meters,dist_miles
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),7342,1960,2,Scituate,251056002068,"LINESTRING Z (262504.062729485 880593.0008570558 0, 262606.5840024796 880733.8236443182 0)",2401,509.03144137675343,0.31629747361456184
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),7342,1960,4,Scituate,251056002068,"LINESTRING Z (262504.062729485 880593.0008570558 0, 262606.5840024796 880733.8236443182 0)",2402,509.03144137675343,0.31629747361456184
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),6017,5978,1,Scituate,251056001691,"MULTILINESTRING Z ((258429.2924794871 885298.9482070536 0, 258452.2050444034 885339.2544359008 0), (258797.5429794846 885316.3603820581 0, 258844.13607948 885287.4669820482 0, 258907.3366794876 885250.0097820498 0), (260791.5074044844 883155.6084320501 0, 260821.9970294823 883177.4814320595 0, 260900.5127294826 883236.2314320626 0, 260988.0909794937 883254.2314320551 0, 261061.106379491 883269.2939320569 0, 261128.7315794856 883283.1688820551 0, 261195.0291044852 883296.8337570529 0), (262056.0942794828 881509.4811820614 0, 262075.6504794871 881454.1187820524 0, 262086.0080794819 881408.728182049 0, 262078.8114794819 881346.3945820503 0), (261714.3729794893 881241.1521820533 0, 261686.5893794833 881190.823982052 0, 261638.5340294895 881074.4839820631 0, 261631.2502794844 881020.7380153865 0, 261669.3912794851 880989.0170820524 0, 261798.9612294913 880897.8917320528 0), (262019.1548044845 881240.5335820531 0, 261818.666119324 881240.9405036259 0))",3011,270.37234443913576,0.16800158601214887
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),6017,5978,1,Scituate,251056002068,"MULTILINESTRING Z ((258429.2924794871 885298.9482070536 0, 258452.2050444034 885339.2544359008 0), (258797.5429794846 885316.3603820581 0, 258844.13607948 885287.4669820482 0, 258907.3366794876 885250.0097820498 0), (260791.5074044844 883155.6084320501 0, 260821.9970294823 883177.4814320595 0, 260900.5127294826 883236.2314320626 0, 260988.0909794937 883254.2314320551 0, 261061.106379491 883269.2939320569 0, 261128.7315794856 883283.1688820551 0, 261195.0291044852 883296.8337570529 0), (262056.0942794828 881509.4811820614 0, 262075.6504794871 881454.1187820524 0, 262086.0080794819 881408.728182049 0, 262078.8114794819 881346.3945820503 0), (261714.3729794893 881241.1521820533 0, 261686.5893794833 881190.823982052 0, 261638.5340294895 881074.4839820631 0, 261631.2502794844 881020.7380153865 0, 261669.3912794851 880989.0170820524 0, 261798.9612294913 880897.8917320528 0), (262019.1548044845 881240.5335820531 0, 261818.666119324 881240.9405036259 0))",3012,270.37234443913576,0.16800158601214887
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),7586,1960,1,Scituate,251056002068,"LINESTRING Z (262054.533979814 880887.0100396213 0, 262141.2727318892 880913.0028872142 0)",30603,207.56712772891848,0.12897623362619703
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),7586,1960,3,Scituate,251056002068,"LINESTRING Z (262054.533979814 880887.0100396213 0, 262141.2727318892 880913.0028872142 0)",30604,207.56712772891848,0.12897623362619703
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),7586,1960,4,Scituate,251056002068,"LINESTRING Z (262054.533979814 880887.0100396213 0, 262141.2727318892 880913.0028872142 0)",30605,207.56712772891848,0.12897623362619703
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),0,0,1,Scituate,251056002068,"LINESTRING Z (262054.533979814 880887.0100396213 0, 262141.2727318892 880913.0028872142 0)",30606,207.56712772891848,0.12897623362619703
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),0,0,3,Scituate,251056002068,"LINESTRING Z (262054.533979814 880887.0100396213 0, 262141.2727318892 880913.0028872142 0)",30607,207.56712772891848,0.12897623362619703
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (262245.4302000033 881092.5448999847),0,0,4,Scituate,251056002068,"LINESTRING Z (262054.533979814 880887.0100396213 0, 262141.2727318892 880913.0028872142 0)",30608,207.56712772891848,0.12897623362619703
4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8615,5009,3,Boston,,"LINESTRING Z (235913.7793725795 899859.8635147705 0, 235970.605143833 899851.4718045886 0, 235982.4566723153 899916.1460420582 0, 236046.82801474 899892.8901576789 0)",10180,693.3025872064742,0.430798255193715
4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8613,5009,3,Boston,,"LINESTRING Z (236082.5000615205 899958.3427587614 0, 236122.6359628165 899941.6626487219 0, 236151.9364294853 899979.7383070606 0, 236199.9328394877 899961.0551420539 0)",10269,525.9302888037436,0.3267979305877075
4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8708,8615,3,Boston,,"LINESTRING Z (235927.2964794867 899976.8092177692 0, 235892.0709544859 899987.6048195531 0, 235898.2746294806 900036.4538570512 0, 235918.52884615 900084.4748820602 0, 235944.1926582314 900171.4107738975 0)",10341,723.4424834128941,0.4495263184334077
4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8667,8615,3,Boston,,"LINESTRING Z (235944.1926582314 900171.4107738975 0, 236002.2900498097 900143.6286221354 0)",10342,667.2979385845944,0.41463971567582464
4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8708,8667,3,Boston,,"LINESTRING Z (235944.1926582314 900171.4107738975 0, 236005.5549308273 900183.8754877124 0)",10347,661.6678212930731,0.411141322981956
4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8614,8514,3,Boston,,"LINESTRING Z (236093.0017308418 900123.5887040716 0, 236062.6326613058 900188.2977184127 0, 236110.1054102517 900178.7735051301 0, 236093.0017308418 900123.5887040716 0)",10349,557.3665086732391,0.3463314920074509
