,station_id,station_name,line,layer,station_lat,station_lon,geometry_x,LEFT_FID,RIGHT_FID,zo_usety,municipal,ncessch,geometry_y,boundary_using_id,dist_meters,dist_miles
154784,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8615,5009,3,Boston,,"LINESTRING Z (235913.7793725795 899859.8635147705 0, 235970.605143833 899851.4718045886 0, 235982.4566723153 899916.1460420582 0, 236046.82801474 899892.8901576789 0)",10180,693.3025872064742,0.430798255193715
154873,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8613,5009,3,Boston,,"LINESTRING Z (236082.5000615205 899958.3427587614 0, 236122.6359628165 899941.6626487219 0, 236151.9364294853 899979.7383070606 0, 236199.9328394877 899961.0551420539 0)",10269,525.9302888037436,0.3267979305877075
154945,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8708,8615,3,Boston,,"LINESTRING Z (235927.2964794867 899976.8092177692 0, 235892.0709544859 899987.6048195531 0, 235898.2746294806 900036.4538570512 0, 235918.52884615 900084.4748820602 0, 235944.1926582314 900171.4107738975 0)",10341,723.4424834128941,0.4495263184334077
154946,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8667,8615,3,Boston,,"LINESTRING Z (235944.1926582314 900171.4107738975 0, 236002.2900498097 900143.6286221354 0)",10342,667.2979385845944,0.41463971567582464
154951,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8708,8667,3,Boston,,"LINESTRING Z (235944.1926582314 900171.4107738975 0, 236005.5549308273 900183.8754877124 0)",10347,661.6678212930731,0.411141322981956
154953,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8614,8514,3,Boston,,"LINESTRING Z (236093.0017308418 900123.5887040716 0, 236062.6326613058 900188.2977184127 0, 236110.1054102517 900178.7735051301 0, 236093.0017308418 900123.5887040716 0)",10349,557.3665086732391,0.3463314920074509
155022,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8614,8530,3,Boston,,"LINESTRING Z (236149.8880682196 900244.075942694 0, 236202.7378294873 900262.1333320509 0, 236250.3312044854 900272.1968570527 0, 236287.6555397042 900219.3548348588 0)",10418,379.6489251653055,0.23590290526158825
155023,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8614,8530,4,Boston,,"LINESTRING Z (236149.8880682196 900244.075942694 0, 236202.7378294873 900262.1333320509 0, 236250.3312044854 900272.1968570527 0, 236287.6555397042 900219.3548348588 0)",10419,379.6489251653055,0.23590290526158825
155025,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8708,8703,3,Boston,,"LINESTRING Z (235912.5191993361 900277.2127649612 0, 235884.3928215062 900222.9900230156 0)",10421,758.0785127595917,0.4710481492829325
155026,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8708,8609,3,Boston,,"LINESTRING Z (236028.7495020239 900263.3287279056 0, 235950.3615662402 900255.2781433738 0, 235912.5191993361 900277.2127649612 0)",10422,641.0516504132424,0.39833102830298706
155028,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8708,5122,3,Boston,,"LINESTRING Z (235867.7069162355 900261.6206183732 0, 235829.7925794836 900265.4662820562 0, 235768.6825080579 900270.4937391989 0, 235718.8358128152 900273.695048717 0, 235680.2458794835 900276.8792320563 0, 235640.5101994807 900280.6691087241 0)",10424,801.3943782488271,0.49796338026477066
155029,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8616,5049,2,Boston,,"LINESTRING Z (236585.4190080053 900221.8765105631 0, 236544.5230916968 900259.6107729116 0)",10425,83.70422406240276,0.052011393500956134
155030,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8616,5049,3,Boston,,"LINESTRING Z (236585.4190080053 900221.8765105631 0, 236544.5230916968 900259.6107729116 0)",10426,83.70422406240276,0.052011393500956134
155031,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8616,5049,4,Boston,,"LINESTRING Z (236585.4190080053 900221.8765105631 0, 236544.5230916968 900259.6107729116 0)",10427,83.70422406240276,0.052011393500956134
155038,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8614,8515,3,Boston,,"LINESTRING Z (236102.5410467344 900294.3296061876 0, 236078.7206366316 900263.0392534828 0, 236028.7495020239 900263.3287279056 0)",10434,571.7617286239073,0.35527626699071624
155091,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),5183,5055,2,Boston,,"LINESTRING Z (236667.7496052372 900353.0086992506 0, 236692.2264232398 900304.5968008097 0)",10487,104.7711688726492,0.06510178611449709
155092,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),5183,5055,3,Boston,,"LINESTRING Z (236667.7496052372 900353.0086992506 0, 236692.2264232398 900304.5968008097 0)",10488,104.7711688726492,0.06510178611449709
155116,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),5037,1770,2,Boston,,"MULTILINESTRING Z ((237188.5479294819 900371.6716209444 0, 237231.5345128188 900339.6535820551 0, 237268.8748394866 900317.0075220561 0, 237304.0252294821 900297.2575320539 0, 237337.7809594871 900278.4080020536 0, 237386.8503531319 900252.7795481192 0), (237432.6176294854 900228.8757570559 0, 237402.5925006112 900180.2635274802 0, 237369.9586744292 900107.1234531682 0, 237338.0440794876 900050.4522820647 0, 237314.2924522075 900010.7562547814 0, 237287.3237294825 899983.1527320583 0, 237263.0129044871 899940.3757070552 0))",10512,548.217779572286,0.34064673529853523
155133,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),5050,2315,2,Boston,,"LINESTRING Z (236453.9830937731 900344.7694534851 0, 236495.5977994856 900361.9728020596 0)",10529,233.79193316399278,0.1452715722455813
155134,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),5050,2315,4,Boston,,"LINESTRING Z (236453.9830937731 900344.7694534851 0, 236495.5977994856 900361.9728020596 0)",10530,233.79193316399278,0.1452715722455813
155151,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),4821,1770,2,Boston,,"LINESTRING Z (237061.4360194831 900445.0435020553 0, 237127.7678961481 900402.32489872 0, 237188.5479294819 900371.6716209444 0)",10547,462.8647485088154,0.2876108206255564
155152,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),4821,1770,3,Boston,,"LINESTRING Z (237061.4360194831 900445.0435020553 0, 237127.7678961481 900402.32489872 0, 237188.5479294819 900371.6716209444 0)",10548,462.8647485088154,0.2876108206255564
155191,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8709,8707,3,Boston,,"LINESTRING Z (236075.9798394878 900480.1190820566 0, 236026.1629794926 900481.3419570568 0, 235976.0817128156 900495.4884153878 0, 235962.1589900109 900460.4195452124 0, 235943.3958294836 900409.4720070602 0, 235927.5028394842 900354.2546220506 0, 235912.5191993361 900277.2127649612 0)",10587,652.7503496190128,0.4056002629761025
155192,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8714,5176,2,Boston,,"MULTILINESTRING Z ((236979.3688794898 900462.0122570539 0, 236956.2508294844 900487.9139320557 0, 236925.7498966771 900522.4566680165 0), (236835.5145738869 900481.1484565877 0, 236869.9815461522 900443.4605153922 0, 236921.0184426419 900375.5710662695 0))",10588,306.8297365612893,0.1906551592209554
155193,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8714,5176,3,Boston,,"MULTILINESTRING Z ((236979.3688794898 900462.0122570539 0, 236956.2508294844 900487.9139320557 0, 236925.7498966771 900522.4566680165 0), (236835.5145738869 900481.1484565877 0, 236869.9815461522 900443.4605153922 0, 236921.0184426419 900375.5710662695 0))",10589,306.8297365612893,0.1906551592209554
155251,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),5037,4821,2,Boston,,"MULTILINESTRING Z ((237485.9183394816 900563.7464020562 0, 237445.2615294842 900570.1484987284 0, 237386.0920294808 900568.1031820572 0), (237330.0160017106 900551.4854487255 0, 237276.8454509105 900519.1954106321 0, 237245.3408461517 900485.821082058 0, 237200.0876794923 900407.583932061 0, 237188.5479294819 900371.6716209444 0), (237603.8702102562 900155.5283435929 0, 237702.7877294836 900337.5701320579 0, 237659.9144294835 900359.831232056 0, 237618.6515794884 900342.8231420569 0, 237500.9934128187 900413.0866820527 0, 237536.7248794854 900546.2675820533 0))",10647,548.217779572286,0.34064673529853523
155281,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),4821,1777,2,,,"LINESTRING Z (237153.2894794797 900614.7104820517 0, 237112.3275794823 900539.7894820534 0)",10677,558.4290569951106,0.346991728925022
155282,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),4821,1777,3,,,"LINESTRING Z (237153.2894794797 900614.7104820517 0, 237112.3275794823 900539.7894820534 0)",10678,558.4290569951106,0.346991728925022
155424,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8709,5184,2,Boston,,"LINESTRING Z (236293.8600509567 900403.9387273943 0, 236265.1101794877 900409.2433820562 0, 236234.9304461525 900444.8947487217 0, 236273.3077794843 900498.5361820508 0, 236310.3289594862 900546.3427420565 0, 236271.5487544884 900586.4341070559 0, 236311.8038794865 900640.4662820534 0, 236346.5414703913 900685.8572729691 0, 236418.7530044874 900699.023644552 0)",10820,423.7963104759529,0.26333481870622616
155425,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8709,5184,3,Boston,,"LINESTRING Z (236293.8600509567 900403.9387273943 0, 236265.1101794877 900409.2433820562 0, 236234.9304461525 900444.8947487217 0, 236273.3077794843 900498.5361820508 0, 236310.3289594862 900546.3427420565 0, 236271.5487544884 900586.4341070559 0, 236311.8038794865 900640.4662820534 0, 236346.5414703913 900685.8572729691 0, 236418.7530044874 900699.023644552 0)",10821,423.7963104759529,0.26333481870622616
155580,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8709,8707,3,Boston,,"LINESTRING Z (236169.3904160514 900872.9009615246 0, 236225.6320487141 900799.8358051309 0, 236185.6816794873 900754.7916820529 0, 236159.4926794824 900712.1266534866 0, 236160.6276794912 900672.4789820609 0, 236203.8820294882 900646.6445320551 0, 236147.9711794863 900570.5592820542 0)",10976,635.9035239289518,0.39513213081165477
155635,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8709,8705,3,Boston,,"MULTILINESTRING Z ((236352.6044128181 900820.9668153878 0, 236298.0774461515 900848.5431653897 0, 236308.5440567562 900905.9105922566 0), (236412.3587819215 900742.8576820504 0, 236367.5911794808 900756.8534070622 0, 236328.1392544893 900780.2873570572 0))",11031,596.9488420913575,0.3709268137150028
155636,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8705,5184,3,Boston,,"LINESTRING Z (236410.8644859545 900879.2033585601 0, 236337.7642461513 900880.5441153897 0)",11032,723.1440435759695,0.4493408765161267
155706,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),5184,5123,3,Boston,,"LINESTRING Z (236834.6415651097 900772.8893053134 0, 236786.8686642592 900822.9240335459 0, 236767.8167046902 900861.2731228471 0, 236694.8084652548 900906.8403033555 0, 236654.9295368021 900925.3908335406 0, 236718.7394894087 900956.8625628361 0)",11102,594.1255268112068,0.36917248693331367
155822,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),4821,1777,2,,,"LINESTRING Z (237727.957679485 901106.6479820542 0, 237174.8571794906 900654.0696820576 0, 237153.2894794797 900614.7104820517 0)",11218,637.2584057250954,0.39597401532866516
174629,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),0,0,2,Boston,,"LINESTRING Z (236538.5123794857 900326.2286820543 0, 236499.1729880842 900333.6126215444 0)",30025,178.0469634196931,0.11063325393433168
174630,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),0,0,4,Boston,,"LINESTRING Z (236538.5123794857 900326.2286820543 0, 236499.1729880842 900333.6126215444 0)",30026,178.0469634196931,0.11063325393433168
177934,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),8617,5183,3,Boston,,"LINESTRING Z (236423.7170055996 899743.2835409443 0, 236435.5143583809 899784.2405577617 0)",33330,478.38778170563387,0.2972563862702032
177935,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),0,0,3,Boston,,"LINESTRING Z (236423.7170055996 899743.2835409443 0, 236435.5143583809 899784.2405577617 0)",33331,478.38778170563387,0.2972563862702032
177936,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),0,0,3,Boston,,"LINESTRING Z (236423.7170055996 899743.2835409443 0, 236435.5143583809 899784.2405577617 0)",33332,478.38778170563387,0.2972563862702032
177937,4,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (236666.948600002 900202.9206999831),0,0,3,Boston,,"LINESTRING Z (236423.7170055996 899743.2835409443 0, 236435.5143583809 899784.2405577617 0)",33333,478.38778170563387,0.2972563862702032
191045,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6925,6435,1,Boston,,"LINESTRING Z (229651.1976444836 900055.3865370555 0, 229608.5519794854 900077.3839820526 0, 229578.2440238488 900091.3823374938 0)",10290,726.270301148373,0.4512834429111321
191062,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6853,6435,1,Boston,,"LINESTRING Z (229654.4642128185 900115.2824487217 0, 229651.1976444836 900055.3865370555 0)",10307,690.514617755405,0.4290658912919829
191069,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),8292,6484,1,Boston,,"LINESTRING Z (229381.3706030131 900100.2292879358 0, 229267.0922294885 900076.9464820576 0, 229249.7896913634 900136.2528084188 0)",10314,783.1783219534539,0.48664444764665216
191070,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),8292,6484,3,Boston,,"LINESTRING Z (229381.3706030131 900100.2292879358 0, 229267.0922294885 900076.9464820576 0, 229249.7896913634 900136.2528084188 0)",10315,783.1783219534539,0.48664444764665216
191071,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6434,2305,1,Boston,,"LINESTRING Z (229941.3457476468 900137.5220702922 0, 229973.2013044888 900088.9320070529 0)",10316,697.0759871028976,0.4331429371861439
191072,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6434,2305,4,Boston,,"LINESTRING Z (229941.3457476468 900137.5220702922 0, 229973.2013044888 900088.9320070529 0)",10317,697.0759871028976,0.4331429371861439
191101,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6925,6434,1,Boston,,"LINESTRING Z (230061.4550522085 900182.9864093306 0, 230049.9484294904 900130.8854320551 0, 230088.2561294846 900094.1521320526 0, 230126.0794794843 900078.464082059 0, 230163.5860794867 900061.8632620551 0)",10346,702.0404178355533,0.4362276914292738
191120,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6853,6434,1,Boston,,"LINESTRING Z (229941.3457476468 900137.5220702922 0, 229983.355501709 900149.7342264918 0, 230024.6740794823 900202.7167820551 0, 230061.4550522085 900182.9864093306 0)",10365,667.6698308382335,0.4148707988088522
191121,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6853,6434,4,Boston,,"LINESTRING Z (229941.3457476468 900137.5220702922 0, 229983.355501709 900149.7342264918 0, 230024.6740794823 900202.7167820551 0, 230061.4550522085 900182.9864093306 0)",10366,667.6698308382335,0.4148707988088522
191125,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6853,6435,1,Boston,,"LINESTRING Z (229379.6197937721 900136.8783201526 0, 229414.6615509151 900148.819010624 0, 229443.6041794851 900155.8527820576 0, 229471.9461239352 900165.2403931631 0, 229511.4281794823 900179.0746963414 0, 229550.0098794857 900193.9718153867 0, 229596.4322294815 900203.5969720598 0, 229651.9647394861 900199.4110020616 0, 229654.4642128185 900115.2824487217 0)",10370,607.270785937044,0.37734057226860385
191126,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6853,6435,3,Boston,,"LINESTRING Z (229379.6197937721 900136.8783201526 0, 229414.6615509151 900148.819010624 0, 229443.6041794851 900155.8527820576 0, 229471.9461239352 900165.2403931631 0, 229511.4281794823 900179.0746963414 0, 229550.0098794857 900193.9718153867 0, 229596.4322294815 900203.5969720598 0, 229651.9647394861 900199.4110020616 0, 229654.4642128185 900115.2824487217 0)",10371,607.270785937044,0.37734057226860385
191202,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6925,6853,1,Boston,,"LINESTRING Z (230182.9311742203 900302.4016188979 0, 230178.5096461507 900253.3419153907 0, 230188.5595794858 900213.1080320554 0, 230204.1862294884 900157.5880153917 0, 230206.9853572656 900098.8979153878 0, 230153.1391044919 900130.0343570558 0, 230108.3676509171 900157.0153677694 0, 230061.4550522085 900182.9864093306 0)",10447,674.3264930825355,0.41900705696391544
191258,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6991,6853,1,Boston,,"LINESTRING Z (230147.8570461538 900333.1583487231 0, 230182.9311742203 900302.4016188979 0)",10503,628.0010628271605,0.39022176913522555
191259,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6991,6853,3,Boston,,"LINESTRING Z (230147.8570461538 900333.1583487231 0, 230182.9311742203 900302.4016188979 0)",10504,628.0010628271605,0.39022176913522555
191327,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6484,4046,1,Boston,,"LINESTRING Z (229439.1044961512 900324.965265388 0, 229422.4788794923 900362.6658320526 0)",10572,535.8331470042425,0.3329512813943088
191328,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6484,4046,3,Boston,,"LINESTRING Z (229439.1044961512 900324.965265388 0, 229422.4788794923 900362.6658320526 0)",10573,535.8331470042425,0.3329512813943088
191339,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6745,6484,3,Boston,,"LINESTRING Z (229317.371624939 900470.5021820578 0, 229330.7062294902 900502.5844320564 0)",10584,498.6468684972933,0.3098447991835762
191341,5,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (229729.6875000005 900801.6874999847),6856,6436,1,Boston,,"LINESTRING Z (230521.1796794838 900483.2335820454 0, 230467.7032794838 900474.0265487183 0, 230449.0362794841 900515.9994820564 0)",10586,774.0027843183105,0.48094303288688467
