station_id,station_name,line,layer,station_lat,station_lon,geometry,length_m,error
0,GREENBUSH,COMMUTER RAIL,TRAIN_NODES,42.17779879866329,-70.74656682979789,POINT (-70.74656682979789 42.17779879866329),44917.0,
21,WACHUSETT,COMMUTER RAIL,TRAIN_NODES,42.55356363801657,-71.84876354052662,POINT (-71.84876354052662 42.55356363801657),88175.0,
22,BRADFORD,COMMUTER RAIL,TRAIN_NODES,42.76872645793275,-71.08655077036804,POINT (-71.08655077036804 42.76872645793275),54365.0,
27,LAWRENCE,COMMUTER RAIL,TRAIN_NODES,42.70177357612105,-71.15169161976846,POINT (-71.15169161976846 42.70177357612105),44900.0,
54,SOUTH STATION,COMMUTER RAIL,TRAIN_NODES,42.35146256050215,-71.05496026071819,POINT (-71.05496026071819 42.35146256050215),131.0,
56,BOSTON LANDING,COMMUTER RAIL,TRAIN_NODES,42.3571481228762,-71.13912838631244,POINT (-71.13912838631244 42.3571481228762),7675.0,
73,NORTH STATION,COMMUTER RAIL,TRAIN_NODES,42.366286480448736,-71.06227059811692,POINT (-71.06227059811692 42.36628648044874),1946.0,
77,EAST WEYMOUTH,COMMUTER RAIL,TRAIN_NODES,42.21939938522992,-70.92171885079512,POINT (-70.92171885079512 42.21939938522992),23685.0,
92,CHELSEA,COMMUTER RAIL,TRAIN_NODES,42.39546344317493,-71.03344161189011,POINT (-71.03344161189011 42.39546344317493),9928.0,
95,WALPOLE,COMMUTER RAIL,TRAIN_NODES,42.1453185322529,-71.25813107419992,POINT (-71.25813107419992 42.1453185322529),30940.0,
99,ROWLEY,COMMUTER RAIL,TRAIN_NODES,42.72501905345048,-70.85854974989181,POINT (-70.85854974989181 42.72501905345048),52293.0,
100,SALEM,COMMUTER RAIL,TRAIN_NODES,42.523961763512816,-70.89598189962496,POINT (-70.89598189962496 42.52396176351282),29008.0,
101,SWAMPSCOTT,COMMUTER RAIL,TRAIN_NODES,42.474242299600974,-70.9216836286271,POINT (-70.92168362862709 42.47424229960097),22469.0,
