station_id,station_name,line,layer,station_lat,station_lon,geometry
44,WAKEFIELD,COMMUTER RAIL,TRAIN_NODES,42.50238131927824,-71.07576890423509,POINT (-71.07576890423509 42.50238131927824)
45,READING,COMMUTER RAIL,TRAIN_NODES,42.523253079905295,-71.11067081252943,POINT (-71.11067081252943 42.5232530799053)
46,NORTH SCITUATE,COMMUTER RAIL,TRAIN_NODES,42.218770564545935,-70.78545281685228,POINT (-70.78545281685228 42.21877056454593)
47,NANTASKET JUNCTION,COMMUTER RAIL,TRAIN_NODES,42.244943480096886,-70.86793745330111,POINT (-70.86793745330111 42.24494348009689)
48,WINCHESTER CENTER,COMMUTER RAIL,TRAIN_NODES,42.452247672832414,-71.13731184444377,POINT (-71.13731184444377 42.45224767283241)
49,WEST MEDFORD,COMMUTER RAIL,TRAIN_NODES,42.42180769584373,-71.13335409103436,POINT (-71.13335409103436 42.42180769584373)
50,NORTH BILLERICA,COMMUTER RAIL,TRAIN_NODES,42.59364703317909,-71.28114955439811,POINT (-71.28114955439811 42.59364703317909)
51,WILMINGTON,COMMUTER RAIL,TRAIN_NODES,42.548097666410314,-71.17559832172465,POINT (-71.17559832172465 42.54809766641031)
52,FRANKLIN/DEAN COLLEGE,COMMUTER RAIL,TRAIN_NODES,42.08266593217523,-71.3969428673494,POINT (-71.3969428673494 42.08266593217523)
53,NORFOLK,COMMUTER RAIL,TRAIN_NODES,42.12053846543391,-71.32538162697047,POINT (-71.32538162697047 42.12053846543391)
54,PLIMPTONVILLE,COMMUTER RAIL,TRAIN_NODES,42.158998442883814,-71.23600811365037,POINT (-71.23600811365037 42.15899844288381)
55,WINDSOR GARDENS,COMMUTER RAIL,TRAIN_NODES,42.171060161600494,-71.22069226341466,POINT (-71.22069226341466 42.17106016160049)
56,MORTON STREET,COMMUTER RAIL,TRAIN_NODES,42.28004918085698,-71.08629574972599,POINT (-71.08629574972599 42.28004918085698)
57,FAIRMOUNT,COMMUTER RAIL,TRAIN_NODES,42.25424830040778,-71.11880343230364,POINT (-71.11880343230364 42.25424830040778)
58,NEWMARKET,COMMUTER RAIL,TRAIN_NODES,42.32749979562001,-71.06564215482982,POINT (-71.06564215482982 42.32749979562001)
59,FOUR CORNERS/GENEVA AVE,COMMUTER RAIL,TRAIN_NODES,42.30478610672133,-71.07719599074503,POINT (-71.07719599074503 42.30478610672133)
60,ENDICOTT,COMMUTER RAIL,TRAIN_NODES,42.23265978451417,-71.16029649208413,POINT (-71.16029649208413 42.23265978451417)
61,NEWBURYPORT,COMMUTER RAIL,TRAIN_NODES,42.79958297032204,-70.87878300484381,POINT (-70.87878300484381 42.79958297032204)
62,HAMILTON/WENHAM,COMMUTER RAIL,TRAIN_NODES,42.61108929007927,-70.87409514435583,POINT (-70.87409514435583 42.61108929007927)
63,NEEDHAM HEIGHTS,COMMUTER RAIL,TRAIN_NODES,42.293184222507264,-71.23605561623971,POINT (-71.23605561623971 42.29318422250726)
64,BRIDGEWATER,COMMUTER RAIL,TRAIN_NODES,41.98408621897094,-70.96457740295797,POINT (-70.96457740295797 41.98408621897094)
65,SHIRLEY,COMMUTER RAIL,TRAIN_NODES,42.54512196723268,-71.6483009294854,POINT (-71.6483009294854 42.54512196723268)
66,ISLINGTON,COMMUTER RAIL,TRAIN_NODES,42.2166955567777,-71.1876098230515,POINT (-71.1876098230515 42.2166955567777)
67,GREENWOOD,COMMUTER RAIL,TRAIN_NODES,42.48295500030012,-71.0673404890077,POINT (-71.06734048900771 42.48295500030012)
68,HANSON,COMMUTER RAIL,TRAIN_NODES,42.04394674263011,-70.8824199465553,POINT (-70.8824199465553 42.04394674263011)
69,ABINGTON,COMMUTER RAIL,TRAIN_NODES,42.1067210032137,-70.93422497761584,POINT (-70.93422497761584 42.1067210032137)
